SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,51,細懸浮微粒,普通,0.6,0.2,0.2,49.7,43,32,18,2,2.6,0.6,1.5,92,2021/09/26 11:00:00,15,30,0,121.760056,25.129167,1
汐止,新北市,46,,良好,1.2,0.2,0.2,44.6,35,35,18,5.8,7.2,1.4,2.8,36,2021/09/26 11:00:00,14,30,1,121.6423,25.067131,2
萬里,新北市,46,,良好,1.2,0.18,0.1,50.8,50,38,14,1.6,2.2,0.5,4.8,52,2021/09/26 11:00:00,13,35,0,121.689881,25.179667,3
新店,新北市,40,,良好,1.9,0.24,0.2,41.8,40,25,14,5,7.4,2.3,2.5,24,2021/09/26 11:00:00,12,26,0,121.537778,24.977222,4
土城,新北市,37,,良好,0.2,0.22,0.2,43.9,40,31,9,4.3,5.3,1,2,321,2021/09/26 11:00:00,11,27,0,121.451861,24.982528,5
板橋,新北市,39,,良好,0.1,0.28,0.2,46.5,42,35,,6.6,8.5,1.9,2.3,84,2021/09/26 11:00:00,,30,0,121.458667,25.012972,6
新莊,新北市,41,,良好,0.6,0.21,0.2,49.2,43,42,12,6.4,7.6,1.2,4.7,73,2021/09/26 11:00:00,12,32,0,121.4325,25.037972,7
菜寮,新北市,46,,良好,2.1,0.24,0.2,48.5,44,27,14,5.5,6.5,1,3.8,63,2021/09/26 11:00:00,14,24,1,121.481028,25.06895,8
林口,新北市,43,,良好,1,0.2,0.1,47.8,45,27,12,4.7,5.8,1.1,3.3,108,2021/09/26 11:00:00,13,24,1,121.376869,25.077197,9
淡水,新北市,37,,良好,1,0.15,0.2,45.1,40,23,10,2,2.7,0.7,1.3,110,2021/09/26 11:00:00,10,24,0,121.449239,25.1645,10
士林,臺北市,43,,良好,1.2,0.17,0.1,48.4,46,32,15,4.6,5.8,1.1,3.7,46,2021/09/26 11:00:00,11,27,1,121.515389,25.105417,11
中山,臺北市,44,,良好,2.2,0.33,0.3,41.4,37,32,18,9.2,12.2,3,2.2,89,2021/09/26 11:00:00,13,28,1,121.526528,25.062361,12
萬華,臺北市,45,,良好,1.7,0.24,0.2,44,38,38,20,9.4,11.1,1.7,3.5,98,2021/09/26 11:00:00,14,29,1,121.507972,25.046503,13
古亭,臺北市,45,,良好,0.9,0.25,0.2,43.7,42,35,16,9.4,12.3,2.9,1.3,85,2021/09/26 11:00:00,13,35,0,121.529556,25.020608,14
松山,臺北市,43,,良好,1.4,0.2,0.2,46.8,38,36,16,7,8.7,1.6,2.5,38,2021/09/26 11:00:00,13,32,1,121.578611,25.05,15
大同,臺北市,51,細懸浮微粒,普通,2.4,0.33,0.3,38.6,35,44,21,10.9,15.9,5,-,-,2021/09/26 11:00:00,15,40,1,121.513311,25.0632,16
桃園,桃園市,41,,良好,1.6,0.3,0.2,42.9,40,21,10,8.1,10.2,2.1,2.6,68,2021/09/26 11:00:00,12,25,2,121.30872222,24.98677778,17
大園,桃園市,39,,良好,1.5,0.21,0.2,20,38,35,13,10,11.5,1.4,6.9,29,2021/09/26 11:00:00,12,27,1,121.201811,25.060344,18
觀音,桃園市,46,,良好,1.2,0.13,0.1,47.1,42,41,11,3.4,4.2,0.8,7.9,45,2021/09/26 11:00:00,14,31,2,121.082761,25.035503,19
平鎮,桃園市,45,,良好,1,0.28,0.2,50.3,46,24,15,6.5,7.4,0.9,2.3,48,2021/09/26 11:00:00,14,24,1,121.203986,24.952786,20
龍潭,桃園市,40,,良好,1,0.26,0.2,46.3,40,26,13,6.4,8.2,1.7,2.3,51,2021/09/26 11:00:00,12,25,0,121.21635,24.863869,21
湖口,新竹縣,48,,良好,1.2,0.2,0.2,56.1,45,31,14,3.6,3.9,0.3,2.9,49,2021/09/26 11:00:00,14,28,1,121.038653,24.900142,22
竹東,新竹縣,29,,良好,0.5,0.2,0.1,51.5,28,21,12,3.5,4.1,0.5,1.6,4,2021/09/26 11:00:00,8,20,0,121.088903,24.740644,23
新竹,新竹市,48,,良好,1.9,0.26,0.2,58.8,40,28,13,7.3,8.1,0.8,2.7,43,2021/09/26 11:00:00,14,25,0,120.972075,24.805619,24
頭份,苗栗縣,43,,良好,2,0.25,0.2,65.1,36,28,16,7.1,8.7,1.6,2,83,2021/09/26 11:00:00,13,24,,120.898572,24.696969,25
苗栗,苗栗縣,52,細懸浮微粒,普通,3.2,0.2,0.1,59.1,23,29,18,8.3,9.9,1.6,2.4,350,2021/09/26 11:00:00,16,28,2,120.8202,24.565269,26
三義,苗栗縣,54,細懸浮微粒,普通,2,0.21,0.2,59.1,30,36,17,3.6,5,1.4,2.4,17,2021/09/26 11:00:00,16,33,1,120.758833,24.382942,27
豐原,臺中市,53,細懸浮微粒,普通,1.8,0.22,0.2,53.8,29,33,20,4.5,6,1.5,2.4,312,2021/09/26 11:00:00,16,27,1,120.741711,24.256586,28
沙鹿,臺中市,60,細懸浮微粒,普通,1.5,0.24,0.2,60.4,29,43,22,4.5,6,1.5,4.6,353,2021/09/26 11:00:00,19,37,1,120.568794,24.225628,29
大里,臺中市,61,細懸浮微粒,普通,1.6,0.3,0.2,72.5,34,36,22,6.7,8,1.3,1.6,270,2021/09/26 11:00:00,19,34,1,120.67844444,24.09961111,30
忠明,臺中市,63,細懸浮微粒,普通,1.8,0.25,0.3,62,38,32,18,8.6,9.9,1.2,2,313,2021/09/26 11:00:00,20,34,1,120.641092,24.151958,31
